CID,nAcid,AATS6dv,ATSC3c,ATSC8c,ATSC0Z,ATSC7i,AATSC5c,AATSC1s,AATSC4Z,AATSC5Z,AATSC0m,AATSC1are,AATSC5i,MATS5dv,MATS8d,MATS4s,MATS2se,GATS3c,GATS6c,GATS6dv,GATS4d,GATS5s,GATS3i,GATS4i,BCUTdv_1l,BCUTd_1l,BCUTm_1h,RNCG,C3SP3,AXp_5d,AXp_6d,AXp_7d,AXp_4dv,AXp_5dv,NssS,SdssC,SssNH,SaaO,SsCl,MAXdCH2,MAXtsC,MAXaaNH,MINdCH2,MINsssCH,MINtsC,MINaaNH,ETA_dEpsilon_D,MIC0,PEOE_VSA7,PEOE_VSA12,PEOE_VSA13,n9Ring,n5HRing,n5aRing,n5aHRing,nARing,n9ARing,n8FRing,n11FRing,nG12FRing,n8FHRing,nG12FHRing,n8FARing,n9FARing,n11FARing,nG12FARing,n8FAHRing,n9FAHRing,nG12FAHRing,GGI10
176,1,-1.23401126989425,-0.141658499836922,0,4.33073334028633,0,-0.0438107033186162,-1.32638883590698,9,-12.2976026707008,3.78914373113789,-0.0585714280605316,-1.65377047118286,-1.68411641306287,-0.529947589342379,0.473132371902466,0.412746459245682,0.260793007666637,-0.678864335380685,-0.644482429071999,0,-0.790637072451925,-1.23729638677835,0,-0.00404734783130396,-0.0324525114689695,2.77345702325028,-0.422086867097906,0,-3.9467991772312,-4.86804034615504,-5.5712927079031,-0.140271640073444,-0.0295322467693442,0,-0.833333313465118,0,0,0,1.11254828319735,0.724070240304194,1.12208496656086,1.11254828319735,-1.74662183848989,0.724070240304194,1.12208496656086,0.156666666269302,2.67476913443926,0,0,5.96930551528931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,-1.23401126989425,-0.0184072814881802,0,4.05550474779048,0,-0.0438107033186162,-0.00340136047452688,-47.1751536162273,-12.2976026707008,3.65739760133581,-0.000136054426548071,-1.65377047118286,-1.68411641306287,-0.529947589342379,-1.19594813853624,-0.0498249121010303,0.386045002703412,-0.678864335380685,-0.644482429071999,-0.438846646247961,-0.790637072451925,-9.51705189473145,-0.315748454172776,-0.00607232385806314,-0.0540095686838745,2.77321592399854,-0.0283873912860136,0,-3.9467991772312,-4.86804034615504,-5.5712927079031,-0.140271640073444,-0.0295322467693442,0,0,0,0,0,1.11254828319735,0.724070240304194,1.12208496656086,1.11254828319735,-1.74662183848989,0.724070240304194,1.12208496656086,0,2.57137273405146,6.92373704910278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0,-1.23401126989425,0.115590825676918,0,4.74865192835042,0,0.00225212634541094,-0.572649598121643,-4.30204105377197,5.89795923233032,3.65739760133581,-0.0209419149905443,0.44254407286644,0.480769217014313,-0.529947589342379,-0.367264568805695,-0.00256365211680532,0.108534902916724,-0.678864335380685,-0.644482429071999,0,0,0.0415328395273525,0.793610513210297,-0.00655992002198217,-0.027734720592637,2.77322807564827,-0.620779900917816,0,-3.9467991772312,-4.86804034615504,-5.5712927079031,-0.140271640073444,-0.0295322467693442,0,-0.185185179114342,0,0,0,1.11254828319735,0.724070240304194,1.12208496656086,1.11254828319735,-0.787037014961243,0.724070240304194,1.12208496656086,0.093650795519352,2.57137273405146,13.8474740982056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,-1.23401126989425,-0.0569730177521706,0,4.3254562630019,0,-0.0438107033186162,-0.197037041187286,4.84000015258789,-12.2976026707008,3.57662890749926,-0.000711111119017005,-1.65377047118286,-1.68411641306287,-0.529947589342379,0.242816090583801,0.0970999523997307,0.803471758560865,-0.678864335380685,-0.644482429071999,0,-0.790637072451925,0.0666401093446689,0,-0.0070906737112641,-0.0324525114689695,2.77321663880555,-0.0389343943594321,0,-3.9467991772312,-4.86804034615504,-5.5712927079031,-0.140271640073444,-0.0295322467693442,0,0.16666667163372,0,0,0,1.11254828319735,0.724070240304194,1.12208496656086,1.11254828319735,-1.74662183848989,0.724070240304194,1.12208496656086,0,2.48651182519036,13.8474740982056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0.0142683135345578,0,4.58496747867057,0,0.000604880566243082,-0.00453514745458961,-0.200000002980232,0.888888895511627,3.50826283347086,1.75928263379963e-17,0.455932706594467,0,-0.529947589342379,-0.0859118849039078,-0.0964346826076508,-0.422901166286797,2.68480372428894,2.33999991416931,0.838157892227173,2.3076331615448,0.172443467141028,1.02210140228271,1.00584691103943,-0.0434224190905065,2.77321592399854,-0.677684897884206,0,-2.20258434923657,-2.44052126567089,-2.62874770396212,0.0531606338918209,0.0301961041986942,0,0,0,0,0,1.11254828319735,0.724070240304194,1.12208496656086,1.11254828319735,-1.74662183848989,0.724070240304194,1.12208496656086,0,2.38734567548605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0,-1.23401126989425,-0.0020579625852406,0,4.53177205892757,0,-0.00229519000276923,0.102687373757362,0.277712017297745,-2.95562124252319,3.52454364016722,-0.000966469408012927,0.522447824478149,-0.691699624061584,-0.529947589342379,-0.0734207406640053,-0.0315178446471691,-0.260486664010866,-0.678864335380685,-0.644482429071999,0.519999980926514,3.34684157371521,-0.207639364778245,0.72331041097641,-0.012128170022752,-0.043602959915355,2.77321592399854,-0.320167565833212,0,-3.9467991772312,-4.86804034615504,-5.5712927079031,0.117851130664349,-0.0295322467693442,0,0,0,0,0,1.11254828319735,0.724070240304194,1.12208496656086,1.11254828319735,-1.74662183848989,0.724070240304194,1.12208496656086,0,2.42240099005042,6.42082166671753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,0.0165368877351284,0,4.60916222245563,0,-0.00185042235534638,-0.214285716414452,0.106666669249535,-0.660000026226044,3.45926471430305,-0.0131746027618647,0.268947541713715,-0.225352108478546,-0.529947589342379,0.00776397529989481,-0.0926933065056801,-0.381847521015134,1.10165214538574,0,0.555555582046509,1.92753624916077,-0.133534594250567,0.796152651309967,-0.0121299196505865,-0.0128250053528455,2.77271591046297,-0.319894794818272,0,-3.9467991772312,-4.86804034615504,-5.5712927079031,0.15811388194561,-0.0295322467693442,0,0,0,0,0,1.11254828319735,0.724070240304194,1.12208496656086,1.11254828319735,-1.74662183848989,0.724070240304194,1.12208496656086,0.0922222211956978,2.36723244629054,6.42082166671753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,1,0,-0.0817462429404259,0,4.74865192835042,0,-0.00599713902920485,-0.351997196674347,0.0725623592734337,-6.78458070755005,3.65739760133581,-0.0209419149905443,0.27841454744339,-0.818131566047668,-0.529947589342379,-0.13255999982357,0.34062984585762,-0.190542166140265,0.991966903209686,0,0.966503262519836,2.67903995513916,-0.133524376330952,0.760044634342194,-0.0121277476992505,-0.0274629154593122,2.77345690414445,-0.562035278557986,0,-3.9467991772312,-4.86804034615504,-5.5712927079031,0.106932736933231,-0.0295322467693442,0,-0.710648119449615,0,0,0,1.11254828319735,0.724070240304194,1.12208496656086,1.11254828319735,-1.74662183848989,0.724070240304194,1.12208496656086,0.093650795519352,2.57137273405146,6.42082166671753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,0,2.8125,-0.00802047923207283,-0.0117857437580824,4.81848784999966,2.74358940124512,0.00135802396107465,-0.00685871066525578,-0.281305104494095,0.943562626838684,3.49329725907425,-1.54188120541109e-17,-0.197794616222382,0.19012214243412,0.862068951129913,-0.034493051469326,-0.0943763479590416,-0.374874663979891,1.60269951820374,1.27973973751068,1.13054192066193,0.747394680976868,0.0289156476817075,1.01114642620087,1.00568340149462,-0.0436098086572785,2.77321604313307,-0.84212844220563,0,-2.2246853485492,-2.530212311276,-2.8459863951604,0.0549649894237518,0.0307329352945089,0,0,0,0,0,1.11254828319735,0.724070240304194,1.12208496656086,1.11254828319735,-1.74662183848989,0.724070240304194,1.12208496656086,0,2.32591036524827,11.6394720077515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,0,2,0.0127965174615383,0,4.77267662663116,3.07731223106384,0.000682123471051455,-0.142744243144989,-1.80251181125641,-0.183775469660759,3.49478646193543,-0.000645905442070216,-0.112618960440159,-0.048436626791954,-0.529947589342379,-0.129570141434669,0.248039707541466,-0.0519802510861726,0.691218852996826,1.45542526245117,1.1120730638504,1.31405758857727,0.00046576141987248,1.04851007461548,1.01217633189129,-0.0224999207909918,2.77377950981981,-0.758853044357319,0,-2.47478918377439,-2.8154654214387,-3.20407461495437,0.0404553227126598,0.0216056816279888,0,0,0,4.90606498718262,0,1.11254828319735,0.724070240304194,1.12208496656086,1.11254828319735,-1.74662183848989,0.724070240304194,1.12208496656086,0,2.499817837017,12.1327342987061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
